BPMX-1 BPMY-1 BPMS-1 BPMA-1 BPMB-1 BPMC-1 BPMD-1 
-2.123046e+00 1.070970e-01 10531816 2.176022e+06 3.125133e+06 2.839510e+06 2.391150e+06 
-2.124070e+00 1.257610e-01 10532787 2.178914e+06 3.128873e+06 2.836657e+06 2.388342e+06 
-2.109902e+00 1.330910e-01 10531102 2.181707e+06 3.127644e+06 2.832269e+06 2.389482e+06 
-2.087233e+00 1.204810e-01 10530927 2.183740e+06 3.121373e+06 2.830981e+06 2.394833e+06 
-2.085422e+00 1.158200e-01 10529241 2.183015e+06 3.119715e+06 2.831090e+06 2.395421e+06 
-2.103372e+00 1.253740e-01 10531425 2.181789e+06 3.125185e+06 2.832762e+06 2.391689e+06 
-2.126062e+00 1.267990e-01 10531933 2.178432e+06 3.129267e+06 2.836435e+06 2.387799e+06 
-2.128490e+00 1.141750e-01 10532667 2.176414e+06 3.127500e+06 2.839417e+06 2.389336e+06 
-2.110061e+00 1.133430e-01 10531992 2.179306e+06 3.123994e+06 2.836475e+06 2.392217e+06 
-2.092730e+00 1.319440e-01 10529889 2.184271e+06 3.124091e+06 2.829485e+06 2.392042e+06 
-2.088431e+00 1.352840e-01 10529980 2.185518e+06 3.123989e+06 2.828224e+06 2.392249e+06 
-2.103064e+00 1.155690e-01 10531182 2.180386e+06 3.123239e+06 2.834469e+06 2.393088e+06 
-2.125578e+00 1.103350e-01 10531914 2.176449e+06 3.125822e+06 2.839710e+06 2.389933e+06 
-2.131579e+00 1.234900e-01 10532715 2.177176e+06 3.129828e+06 2.838133e+06 2.387578e+06 
-2.117466e+00 1.313980e-01 10531384 2.180278e+06 3.128658e+06 2.833904e+06 2.388544e+06 
-2.094859e+00 1.194460e-01 10530599 2.182122e+06 3.122485e+06 2.832193e+06 2.393799e+06 
-2.087373e+00 1.175890e-01 10530444 2.183204e+06 3.120714e+06 2.831413e+06 2.395113e+06 
-2.103613e+00 1.294870e-01 10530509 2.182259e+06 3.125607e+06 2.831901e+06 2.390742e+06 
-2.123894e+00 1.276370e-01 10531923 2.178803e+06 3.129167e+06 2.835816e+06 2.388137e+06 
-2.134784e+00 1.124640e-01 10533790 2.175349e+06 3.128567e+06 2.841058e+06 2.388816e+06 
-2.121458e+00 1.142010e-01 10533085 2.177814e+06 3.126319e+06 2.838520e+06 2.390432e+06 
-2.101468e+00 1.299520e-01 10531725 2.182768e+06 3.125864e+06 2.831626e+06 2.391467e+06 
-2.091153e+00 1.340320e-01 10531067 2.185024e+06 3.124619e+06 2.829104e+06 2.392320e+06 
-2.100921e+00 1.168930e-01 10530776 2.180855e+06 3.123001e+06 2.833772e+06 2.393148e+06 
-2.121480e+00 1.120000e-01 10533342 2.177288e+06 3.126250e+06 2.838742e+06 2.391062e+06 
-2.134595e+00 1.263130e-01 10534274 2.177482e+06 3.131237e+06 2.838600e+06 2.386955e+06 
-2.125032e+00 1.300180e-01 10532932 2.179182e+06 3.130080e+06 2.835849e+06 2.387821e+06 
-2.106160e+00 1.189370e-01 10531348 2.180465e+06 3.124352e+06 2.834469e+06 2.392062e+06 
-2.092594e+00 1.192770e-01 10531378 2.182732e+06 3.122212e+06 2.832161e+06 2.394273e+06 
-2.101786e+00 1.309170e-01 10532339 2.183264e+06 3.125995e+06 2.831947e+06 2.391133e+06 
-2.122635e+00 1.274330e-01 10532842 2.179325e+06 3.129041e+06 2.836048e+06 2.388428e+06 
-2.134718e+00 1.106360e-01 10533382 2.175125e+06 3.127984e+06 2.841388e+06 2.388885e+06 
-2.129256e+00 1.120300e-01 10533994 2.176311e+06 3.127565e+06 2.840356e+06 2.389762e+06 
-2.111192e+00 1.314980e-01 10532509 2.181634e+06 3.127902e+06 2.833232e+06 2.389741e+06 
-2.096467e+00 1.332690e-01 10530837 2.184047e+06 3.125229e+06 2.830113e+06 2.391448e+06 
-2.101056e+00 1.180610e-01 10532103 2.181290e+06 3.123618e+06 2.833950e+06 2.393244e+06 
-2.121230e+00 1.125340e-01 10534040 2.177688e+06 3.126377e+06 2.838928e+06 2.391047e+06 
-2.137011e+00 1.265000e-01 10533019 2.176443e+06 3.131705e+06 2.838216e+06 2.386655e+06 
-2.134104e+00 1.278590e-01 10534072 2.177847e+06 3.131279e+06 2.838282e+06 2.386664e+06 
-2.115353e+00 1.182600e-01 10533780 2.179348e+06 3.126471e+06 2.836752e+06 2.391209e+06 
-2.100061e+00 1.192740e-01 10532335 2.181681e+06 3.123744e+06 2.833628e+06 2.393282e+06 
-2.103645e+00 1.314630e-01 10533200 2.182968e+06 3.126905e+06 2.832136e+06 2.391191e+06 
-2.122648e+00 1.282980e-01 10533892 2.179474e+06 3.129706e+06 2.835982e+06 2.388730e+06 
-2.136771e+00 1.110560e-01 10534176 2.174767e+06 3.128880e+06 2.841618e+06 2.388911e+06 
-2.135509e+00 1.137100e-01 10534089 2.175557e+06 3.128920e+06 2.841113e+06 2.388499e+06 
-2.121906e+00 1.305570e-01 10534359 2.180266e+06 3.129892e+06 2.835816e+06 2.388384e+06 
-2.106173e+00 1.320540e-01 10532864 2.182679e+06 3.127219e+06 2.832464e+06 2.390502e+06 
-2.106147e+00 1.183670e-01 10534613 2.181205e+06 3.125069e+06 2.835595e+06 2.392744e+06 
-2.119529e+00 1.149760e-01 10534425 2.178550e+06 3.126513e+06 2.838450e+06 2.390912e+06 
-2.135473e+00 1.262870e-01 10534150 2.177343e+06 3.131305e+06 2.838751e+06 2.386751e+06 
-2.136814e+00 1.262810e-01 10535434 2.177113e+06 3.132180e+06 2.839045e+06 2.387096e+06 
-2.124215e+00 1.173010e-01 10534915 2.177952e+06 3.128123e+06 2.838660e+06 2.390180e+06 
-2.109117e+00 1.187160e-01 10534149 2.180702e+06 3.125453e+06 2.835926e+06 2.392068e+06 
-2.110908e+00 1.332060e-01 10533768 2.182155e+06 3.128578e+06 2.833175e+06 2.389860e+06 
-2.122939e+00 1.278860e-01 10533808 2.179424e+06 3.129578e+06 2.836158e+06 2.388648e+06 
-2.135522e+00 1.131510e-01 10535507 2.175563e+06 3.129444e+06 2.841397e+06 2.389103e+06 
-2.138935e+00 1.127050e-01 10536587 2.175330e+06 3.130074e+06 2.842503e+06 2.388680e+06 
